,img_id,caption_list,pred_oscar,pred_sat,pred_nicplus,pred_niceq,bb_age
571,29727,"['a young boy is holding up some balloons ', 'a small kid holds on to some balloons ', 'a small boy in a blue shirt with a flag and some balloons', 'Boy holding American flag and bunch of balloons.', 'The child is sitting holding an American flag and balloons. ']",a young man sitting on top of a boat filled with balloons.,a man is sitting on the floor with a balloon,a woman holding a kite in front of her face.,a young boy holding a kite in his hands.,young
572,29776,"['A man riding a red motorcycle next to  buildings in front of a street.', 'A latino man riding a red motorcycle down a street.', 'A man riding a motorcycle on a dirt road.', 'a man is riding a red motorcycle and some buildings', 'A man riding a red motorcycle on a dirt road.']",a man riding on the back of a red motorcycle.,a man riding a motorcycle down a street,a man riding a motorcycle down a street.,a man riding a motorcycle down a street.,old
573,29833,"['A woman is holding a small bunch of fruit.', 'A woman with a backpack holding a small bunch of bananas.', 'A woman in a forest holding small green bananas.', 'A woman surrounded by tall green plants and holding a bunch of small bananas.', 'A woman in the woods with a bunch of bananas. ']",a woman is holding a bunch of green bananas.,a woman is holding a bunch of bananas,a man is holding a bunch of bananas.,a woman holding a bunch of ripe bananas.,old
574,29934,"['A young girl is preparing to swing on a tennis court.', 'a child on a tennis court getting ready to swing a tennis racket', 'A little girl in a white tennis outfit and big sunglasses holds out a tennis racket.', 'A little girl wearing sunglasses holding a tennis racket.', 'This little girl is taking tennis lessons to learn how to play.']",a young girl holding a tennis racquet on a tennis court.,a woman holding a tennis racket on a tennis court,a female tennis player in action on the court.,a female tennis player in action on the court.,young
575,30034,"['A woman smiling with a cell phone in her hand. ', 'a woman holding up a smart phone while smiling.', 'A blonde woman is holding up her cell phone.', 'a woman is holding up a phone and she is smiling', 'A woman smiling while showing off her cell phone.']",a woman holding up a smart phone in front of her face.,a young man holding up a cell phone,a woman holding a cell phone in her hand.,a woman holding a cell phone in her hand.,old
576,30066,"['a girl with a hat flying a kite on an open range', 'Young girl walking on a grassy and sandy shore.', 'A little girl flying a multicolored kite on beach', 'A girl on a beach holding a kite in the air.', 'A young girl in the sand flying a kite.']",a girl is flying a kite on the beach.,a person on a beach flying a kite,a woman flying a kite on a beach.,a woman flying a kite on a beach.,young
577,30067,"['Indian man getting ready to serve a yellow ball.', 'A man preparing to serve a tennis ball.', 'A man is playing tennis with a racquet and ball.', 'A man getting ready to hit a tennis ball .', 'A man holding a tennis racquet and tennis ball.']",a man holding a tennis racquet and a tennis ball.,a man holding a tennis racquet on a tennis court,a male tennis player in action on the court.,a man holding a tennis racquet on a tennis court.,old
578,30198,"['there is a man that is riding his skateboard on the street', 'A man on a skateboard on a sidewalk of a city street.', 'a guy standing on a skateboard by a bench ', 'A man riding a skateboard down a street.', 'A young man stands on a skateboard on a sidewalk. ']",a man riding a skateboard down a sidewalk.,a man riding a skateboard down a sidewalk,a man riding a skateboard down a street.,a man riding a skateboard down a street.,old
579,30290,"['A man hugging a teddy bear while laying on a couch.', 'A man asleep on a couch holding a teddy bear.', 'A man holding a teddy bear sleeping on a green plaid couch.', 'A man in a red shirt sleeps on a couch holding a teddy bear.', 'a man with eye glasses laying on a coach and holding a teddy bear']",a man is sleeping while holding a stuffed bear.,a man laying on a bed with a stuffed animal,a man laying in bed with a teddy bear.,a person laying in bed with a teddy bear.,old
580,30347,"['Two men are using laptops and a child is walking around.', 'A group of young people sitting around a laptop computer.', 'a sideways image of two men and a child lounging in a living room', 'Two males sitting with laptops while a young man looks on.', 'A young man is sitting on a rug while on a laptop']",a group of young men standing around a laptop computer.,a couple of people standing in a kitchen,a man sitting in front of a laptop computer.,a man sitting in front of a laptop computer.,old
581,30403,"['A man raises his tennis racquet as a tennis ball comes towards him.', 'A man holding a tennis racquet on a tennis court.', 'A man with a tennis racket and the ball in front of him.', 'A tennis player in action on the court.', 'A tennis player getting ready to swing at the ball.']",a man swinging a tennis racquet at a tennis ball.,a man swinging a tennis racket at a tennis ball,a man swinging a tennis racquet on a tennis court.,a male tennis player in action on the court.,old
582,30548,"['A man with a bear wearing glasses in a business suit.', 'A man with a beard in glasses grinning at the camera', 'A bearded wearing a suit and glasses sneers.', 'Man with black glasses and a black suit with patterned tie.', 'The bearded man in glasses is barely smiling.']",a man wearing glasses and a suit and tie.,a man wearing a suit and tie,a man in a suit and tie standing in a room.,a man in a suit and tie standing in a room.,old
583,30549,"['a few drag queens make some cake and eat it', 'two people wearing wigs holding a cake that has their picture on it', 'Cake with a picture of two girls holding it in the picture', 'Two women wearing wigs holding a cake with their picture on it', 'a couple of people are holding up a cake']",a woman holding a cake with a picture of a boy on it.,two women sitting at a table with a cake,a woman in a red dress holding a teddy bear.,a woman in a red dress holding a teddy bear.,old
584,30706,"['A man taking a selfie between two mirrors', 'A man with a goatee and glasses takes a selfie with his cell phone in a mirror. ', 'A man with beard taking a photograph with a cellphone.', 'A guy in a bathroom taking a self portrait of his self.', 'A man taking of photo of himself in a mirror with a cell phone.']",a man taking a selfie in front of a mirror.,a man taking a picture of himself in a mirror,a man holding a nintendo wii game controller.,a man standing in a room holding a wii controller.,old
585,30707,"['a man sitting on the end of  a bed in front of a small TV.', 'A man sitting on the bed watching tv', 'There is a man sitting on a bed watching TV', 'a man sitting in the bed looking at tv', 'a person sitting on a bed in a room with two beds']",a man sitting on a bed watching tv.,a man sitting on a bed in a room,a man laying on a bed in front of a tv.,a man sitting on a bed in front of a tv.,old
586,30851,"['A beautiful young lady taking a selfie in a mirror.', 'A teenager takes a selfie with a pink filter', 'A woman posing with a cell phone taking a picture of herself.', 'A grainy picture of a female taking a selfie with her phone.', 'A young woman is taking a photo of herself in the mirror.']",a woman holding a cell phone up to her face.,a black and white photo of a woman holding a cell phone,a man in a suit is holding a surfboard.,a black and white photo of a person holding a surf board.,young
587,30992,"['there is a male baseball player that is at bat at a game', 'A group of men on a field playing baseball.', 'a batter, catcher and umpire during a baseball game', 'A baseball player holding a bat next to a base.', 'A young man holding a baseball bat at home plate, the ball passing him.']",a baseball player swinging a bat at a ball.,a group of people on a field playing baseball,a baseball player swinging a bat at a ball.,a baseball player swinging a bat at a ball.,old
588,31041,"['A newly married couple cutting their wedding cake.', 'a bride and groom are cutting a white cake', 'A newly married couple cutting a triple layer cake.', 'A bride and groom cutting their wedding cake.', 'A married couple in a spotlight with a wedding cake. ']",a man and a woman standing next to a table with a cake on it.,a man and woman standing in front of a cake,a woman standing next to a table with a cake.,a woman is cutting a cake with a knife.,old
589,31061,"['A young man is sitting down with his skateboard. ', 'a fisheye lens photograph of a man sitting in a chair holding a skateboard.', 'A man sitting in a chair fixing a skateboard.', 'A man sitting on a chair holding up a  skateboard.', 'A man working on a skateboard in a kitchen.']",a man sitting in a chair holding a skateboard.,a man sitting in a chair in a room,a man sitting on a couch in a living room.,a man sitting in a chair in a living room.,old
590,31092,"['A person on a motorcycle is next to parked bicycles on the sidewalk.', 'a guy on a bike sitting next to a bicycle ', 'A person parked on the side of the street on a motorcycle.', 'An individual sitting on a crotch-rocket next to a parked bicycle. ', 'the motorcycle is next to the bikes on the street']",a person riding a bike on a city street,a man riding a motorcycle down a street,a person riding a bike on a city street.,a man riding a motorcycle down a street.,old
591,31093,"['A skateboarder is on top of a cement bowl.', 'A man on a skateboard is doing a trick.', 'A male skateboarder is trying to pull off a trick on the ramp. ', 'a man doing a skateboard trick on top of pool ', 'A man on a skateboard wearing a helmet and safety pads while riding in an empty swimming pool.']",a man riding a skateboard up the side of a ramp.,a man riding a skateboard up the side of a ramp,a man riding a skateboard up the side of a ramp.,a man riding a skateboard up the side of a ramp.,old
592,31106,"['A man wearing a blue tank top holds out his arm toward a hovering Frisbee on a beach near a lake.', 'A person on a beach throwing a Frisbee toward the ocean.', 'a man throws a frisbe on a sandy beach ', 'A young man throwing a white frisbee on a beach.', 'A man is standing in the sand playing with a frisbee.']",a man is throwing a frisbee on the beach.,a man on a beach throwing a frisbee,a man standing on a beach holding a frisbee.,a man standing on a beach holding a frisbee.,old
593,31113,"['A young person using a hair dryer near bunk beds.', 'A black-and-white photo of a woman using a hairdryer.', 'a person is blow drying their hair in a bedroom', 'A young man is holding a hair dryer.', 'PERSON IN BLACK AND WHITE PICTURE HOLDING HAIR DRYER']",a young boy holding a baseball bat in front of a window.,a black and white photo of a man holding a dog,a man standing in front of a refrigerator.,a man in a suit and tie standing in front of a building.,young
594,31121,"['A person jumps in the air with a tripod in hand.', 'A photographer leaps into the air from a dock, with his tripod-mounted camera and light diffuser in hand', 'A man holding a camera jumping in the air.', 'A man in the air above a pier holding a photography light and umbrella.', 'A man jumping into the air while holding a camera and an umbrella.']",a man jumping up into the air while holding an umbrella.,a man flying through the air while riding a skateboard,a man is flying a kite in the sky.,a woman is flying a kite in the sky.,old
595,31164,"['a couple of people standing on top of a field.', 'a person who is sitting on top of a horse.', 'a few cowboys stand watching some animals outside', 'Two women are watching a man ride by on a horse.', 'A couple in a field with a guy on a horse going by.']",a woman riding a white horse next to two men.,a group of people walking a dog on a leash,a man is riding a horse in a field.,a person riding a horse in a field.,old
596,31235,"['a person standing with a broken umbrella ', 'a woman is standing outside holding an umbrella', 'a woman is outside and holding an umbrella', 'A woman standing by a street with a broken umbrella.', 'a woman holding a broken umbrella in the rain']",a woman standing on a street corner holding an umbrella.,a woman holding an umbrella over her head,a woman holding an umbrella in the rain.,a woman holding an umbrella in the rain.,old
597,31296,"['A group of older people around a long restaurant table.', 'A group of people pose for a picture at the table', 'a large group of people are sharing a meal at a restaurant', 'A group of people, some in leftover US army clothing, sit at tables in a large dining room.', 'Diners in a restaurant sit at a long table. ']",a group of people sitting at tables in a restaurant.,a group of people sitting around a table,a large group of people sitting at a table.,a group of people sitting at a long table.,old
598,31368,"['A group of people eat a meal at an outdoor event', 'A young man is making a silly face while eating. ', 'Man smiling with food and hands squeezing ketchup', 'Two men at a blue table eating food that includes eggs.', 'A person is smiling next to someone pouring ketchup.']",a group of people that are sitting around a table.,a man sitting at a table with a plate of food,a man sitting at a table with a plate of food.,a woman sitting at a table with a plate of food.,old
599,31390,"['Young men playing frisbee in a grassy field.', 'A group of people on a field with a Frisbee.', 'Several boys on a field playing with a frisbee.', 'A bunch of guys that are standing in the grass with a frisbee.', 'A group of men dressed in red and blue shirts plays Frisbee.']",a group of young men playing a game of frisbee.,a group of young people playing a game of frisbee,a group of young men playing a game of frisbee.,a group of young men playing a game of frisbee.,young
600,31442,"['The man is sitting in the small kitchen on a stool. ', 'A man sits in a wooden kitchen at a table.', 'The man is sitting on a bench in his kitchen.', 'a man is sitting on a wood stool in a home', 'A man sits on a stool in a kitchen.']",a man sitting at a counter in a kitchen.,a man standing in a room next to a refrigerator,a man standing in a kitchen next to a counter.,a man standing in a living room holding a remote.,old
601,31471,"[""A woman tending to a brown cow with a rope wrapped around it's mouth."", 'An adult cow and a baby cow have harnesses on their mouth near a woman. ', 'A woman that is standing next to a cow.', 'A woman petting a cow that is tied up', 'A close up of a woman petting a cow that is tied up.']",a woman is petting a cow at a fair.,a woman is petting a cow on a leash,a man standing next to a herd of cattle.,a woman standing next to a brown horse.,young
602,31521,"['a girl at a kitchen table looking at a laptop computer', 'there is a woman sitting at a table using a lap top', 'A woman sitting at a table in front of a laptop computer.', 'a person that is on a laptop on a table', 'A young girl sits at a kitchen table, backed by a sink, cabinets and windows, a meal and a laptop in front of her, watching the screen.    ']",a person sitting at a table with a laptop.,a woman sitting at a table with a laptop,a woman sitting at a table using a laptop computer.,a woman sitting at a table using a laptop computer.,young
603,31620,"['A bride and groom cutting their wedding cake.', 'A newlywed couple cutting a piece of wedding cake', 'a newly married couple cutting their wedding cake', 'A bride and groom about to cut into their cake', 'A woman in a white dress and a man in gray stand near a cake on a white table under a white canopy.']",a bride and groom are sitting at a wedding table.,a woman standing in a room next to a table,a woman sitting on a bed in a room.,a woman sitting on a bed in a room.,old
604,31699,"['A man kneeling over a white surfboard on the flatbed of a truck.', 'A man is touching a surf board in the back of a truck.', 'A man working on his surfboard in the back of a pickup truck.', 'a man with eye glasses doing something to a surf board', 'A man waxing his surfboard in the back of his truck']",a man standing next to a red car on top of a road.,a man sitting on top of a red train,a woman is sitting on a blue suitcase.,a woman sitting on the back of a truck.,young
605,31717,"['A girl standing on the beach and posing with a surfboard.', 'A woman holding a surf board while standing on a beach.', 'A girl in a body suit at a beach with surfboard.', 'A woman in a wet suit holding a surfboard.', 'A woman in a bodysuit holding a surfboard posing for a picture.']",a woman standing on a beach holding a surfboard.,a man standing on the beach holding a surfboard,a man standing on a beach holding a surfboard.,a person standing on a beach holding a surf board.,old
606,31817,"['A man riding a motorcycle while eating food.', 'Man wearing a helmet sitting on a motor scooter in traffic.', 'A man leans forward on his motor bike as he sits in traffic.', 'A person on a motor scooter with a helmet on.', 'A man on a motor scooter waiting in a group of motor scooters.']",a person wearing a helmet sitting on a motor scooter.,a man sitting on the seat of a motorcycle,a man sitting in a chair with a laptop.,a man in a suit and tie sitting on a bench.,old
607,31825,"['A skier coming to a stop in white powdery snow.', 'A man riding skis down a snowy slope.', 'A man is skiing down hill using both ski poles and the snow looks powdery.', 'A person skiing down a snowy slope during the day.', 'A man smiles as he skis down a snowy slope.']",a man riding skis down a snow covered slope.,a man riding skis down a snow covered slope,a man riding skis down a snow covered slope.,a person riding skis down a snow covered slope.,old
608,31882,"['A group of people sitting on the back of a truck.', 'A bunch of people riding in an odd looking vehicle.', 'A tractor tows a bunch of people in a large wagon.', 'Several people are riding in an old fashioned open pickup truck.', 'People riding in a jeep on a dirt road.']",a group of people riding on the back of a truck.,a couple of people riding on the back of a truck,a man riding on the back of an elephant.,a man riding on the back of an elephant.,old
609,31981,"['A woman is showing off a cake she baked while a man looks on. ', 'A lady wearing a purple shirt holding a cake.', 'A man smiles in the background as a woman holds a cake. ', 'A woman standing outside holding a coconut cake with a man looking on.', 'A woman smiles while holding up a cake.']",a woman holding a cake on top of a green plate.,a woman holding a green frisbee in a park,a woman is holding a plate of food.,a woman holding a plate with a cake on it.,old
610,31983,"['A girl is on her cell phone while waiting for her food order.', 'a young girl with red hair looking down at her phone', 'a young female in a casual dining place on her mobile device', 'a woman is sitting at a table using a phone', 'A young girl at a fast food restaurant looking at her cell phone']",a girl with glasses looking at a cell phone.,a woman sitting at a table with a cell phone,a woman sitting at a table with a cell phone.,a woman holding a cell phone in her hand.,old
611,32056,"['A man making the live long and prosper sign from star trek.', 'a young man standing in a room making the vulcan hand symbol\n', ""A young man making the Vulcan sign for 'live long and prosper'."", 'A teen in a school uniform makes a Vulcan hand sign.', 'A male student making the Vulcan sign and smiling.']",a man in a red vest and tie standing in a room.,a man in a red shirt is holding a cell phone,a man in a suit and tie holding a cell phone.,a man in a suit and tie holding a cell phone.,old
612,32081,"['A woman holding a tennis racquet on a tennis court.', 'A woman on the tennis court playing tennis', 'there is a female tennis p;ayer that is about to serve the ball', 'A woman in a skirt preparing to hit a ball while playing tennis.', 'A woman swings her tennis racket while reaching upward.']",a woman holding a tennis racquet on top of a tennis court.,a woman holding a tennis racquet on a tennis court,a female tennis player in action on the court.,a female tennis player in action on the court.,old
613,32124,"['A pretty young lady sitting on a sidewalk next to an older man.', 'A young woman sitting on the curb while others stand nearby.', 'A woman sitting on a curb with a backpack by her feet.', 'a group of people standing near a person sitting on a curb', 'The young woman sits on the curb of the sidewalk ']",a group of people standing around a woman sitting on the side of a road.,a couple of people standing next to a fence,a man and a woman walking down a street.,a group of people standing around a tennis court.,old
614,32151,"['A man wearing glasses while holding a piece of luggage.', 'A man who is holding on a piece of luggage. ', 'THIS IS A PICTURE OF A MAN POSING WITH HIS SUITCASE', 'A man leaning his arm on a suitcase.', 'A man smiling at the camera with a large case in front of him ']",a man leaning on a suitcase in a room.,a woman is sitting in a chair in a room,a man laying on a bed with a laptop.,a person sitting on a couch with a laptop.,old
615,32258,"['A man sitting on top of a toilet with a toy on his lap.', 'a man seated on the toilet lying on it', 'A man has a dazed look while sitting on a toilet.', 'A man with his eyes closed sits on a toilet with a blue doll placed on his crotch.', 'A man asleep on a toilet in a bathroom.']",a man sitting on a toilet in a bathroom.,a man in a red shirt is playing a video game,a man is holding a toothbrush in his mouth.,a man in a white shirt and a tie.,old
616,32300,"['A picture of a kid picking up a ball.', 'A boy reaches for the ball during a baseball game.', 'Two boys playing baseball run to catch the ball.', 'two young boys run towards a baseball during a baseball game', 'The boys are playing baseball in the field. ']",a couple of young boys playing a game of baseball.,two boys playing baseball on a baseball field,a group of young children playing a game of soccer.,a young boy holding a frisbee in a park.,young
617,32362,"['Two men playing a video game in a room.', 'Two men in a room playing on a Wii', 'two men standing and pointing devices at a tv set', 'Two men standing in a room playing a video game.', 'A couple of men playing a video game in an office setting.']",two men standing in a room playing a video game.,a man standing in a living room holding a remote,a man standing in front of a tv playing a video game.,a man standing in front of a tv holding a wii controller.,old
618,32364,"['A pretty young lady flying a kite in the sky.', 'Woman flying a kite in the air on a single string.', 'A girl flying a white rectangular kite in a sunny sky.', 'A woman wearing glasses flying a small kite on a clear day.', 'A woman flies a kite in the blue sky.']",a woman flying a kite in a blue sky.,a woman flying a kite in a blue sky,a man is flying a kite in a field.,a person flying a kite in a field.,old
619,32400,"['A man in a blue outfit holding a white frisbee.', 'A man holding a frisbee standing in the woods', 'A man standing in a wooded area stretching his arms.', 'Man standing in a field with leaves while holding up a frisbee. ', 'A man stretching his arms holding a frisbee in the woods.']",a man holding a white frisbee while standing in a forest.,a man in a hat is throwing a frisbee,a man is throwing a frisbee in a park.,a man is throwing a frisbee in the woods.,old
620,32464,"['a man on a skate board is at a park', 'A stylized photograph of a man in a basketball jersey riding a skateboard.', 'A young man wearing a white tank top stands on his skateboard in a park.', 'A young man is standing on a skate board in a skate park.', 'A young man is skating on a skateboard at a park.']",a person riding a skate board at a skate park,a person riding a skate board at a skate park,a man riding a skateboard down the side of a ramp.,a young girl is playing tennis on a court.,old
621,32524,"['A woman combing her hair with a brush outside at night', 'A woman in a coat outside brushing her hair.', 'A woman is shown holding a hairbrush outside. ', 'A woman is holding a brush and brushing her hair .', 'A pretty smiling lady holding something in the dark.']",a young girl is holding a toothbrush in her hand.,a young girl holding a video game controller,a woman in a red shirt is holding a cellphone.,a woman holding a cell phone up to her ear.,old
622,32538,"['an old man petting a black and white cow', 'A smiling man poses with a healthy cow', 'A man petting a cow on a farm yard.', 'The old man is posing with his cow for a photo. ', 'an old man next to a cow out side']",a man standing next to a brown cow.,a man is standing next to a cow,a man standing next to a brown and white cow.,a man standing next to a brown cow.,old
623,32577,"['A woman standing on a tennis court holding a racquet.', 'A woman playing tennis on a clay court in a park.', 'A female tennis player in action on the courts.', 'A woman in black swinging back her tennis racket.', 'A woman preparing to swing her tennis racquet at an incoming tennis ball.']",a woman holding a tennis racquet on top of a tennis court.,a young woman holding a tennis racquet on a tennis court,a man holding a tennis racquet on a tennis court.,a male tennis player in action on the court.,old
624,32609,"['An old time photograph of a young man.', 'An old photo of a man in a suit.', 'A man in an old picture wearing a suit and tie.', 'A black and white photo of a man,looks old.', 'An old photograph depicts a young boy in nice clothes.']",a black and white photo of a man in a suit and tie.,a man wearing a suit and tie,a black and white photo of a man in a suit and tie.,a man in a suit and tie standing in front of a window.,young
625,32645,"['a child in an orange shirt and a teddy bear sitting on a bench', 'A young boy sitting on top of a wooden chair.', 'A male child and a teddy bear sitting on a bench.', 'A kid and stuffed bear in a room.', 'A boy in orange shirt sitting on table next to teddy bear.']",a little boy sitting on a wooden bench next to a teddy bear.,a woman sitting in a chair with two teddy bears,a teddy bear sitting on a chair in a room.,a woman sitting on a couch holding a teddy bear.,young
626,32708,"['The man is sitting down on the floor playing a video game. ', 'a man sitting on the floor while holding onto a wii mote ', 'a man that is sitting down with a wii remote in hand', 'A man that is sitting down on the floor with a remote.', 'A man in a dirty t-shirt is playing a video game.']",a man sitting on the floor playing a video game.,a man sitting on a couch holding a wii remote,a man sitting on a couch holding a wii remote.,a man sitting on a couch playing a video game.,old
627,32712,"['A baseball player hitting a ball in a professional game.', 'a baseball player swings his bat at a ball ', 'A man that is standing with a baseball bat.', 'A batter prepares to hit a ball in a professional baseball game. ', 'A baseball pitcher throwing a pitch and a player swinging. ']",a baseball player holding a bat on top of a field.,a baseball player holding a bat on a field,a baseball player holding a bat on top of a field.,a baseball player holding a bat next to home plate.,old
628,32777,"['A man that is walking next to a train.', 'A man walking next to a blue and yellow train.', 'A man wearing a backpack walking by a passenger train.', 'a person walking on a train station platform', 'The person wearing the backpack is walking beside of the bus.']",a man walking on a platform next to a train.,a train that is pulling into a station,a train on a train track at a train station.,a man standing next to a train on a train track.,old
629,32812,"['A tennis player aims for her return on a blue tennis court. ', 'A female tennis player hitting the ball with racket', 'A woman is playing some tennis and ready to swing. ', 'a female tennis  player in a gray shirt playing tennis', 'A girl swings a net a tennis ball. ']",a woman swinging a tennis racquet at a tennis ball.,a woman is playing tennis on a blue court,a female tennis player in action on the court.,a female tennis player in action on the court.,old
630,32861,"['A man holding an umbrella in a  hallway.', 'A young man stands inside with an umbrella pouring rain.', 'A person poses with a open umbrella indoors.', 'A man standing in a hallway with an umbrella and rain coming down.', 'A man holding an umbrella in a hallway.']",a person standing in front of a building holding an umbrella.,a man standing under an umbrella in a building,a woman holding an umbrella in the rain.,a woman holding an umbrella in the rain.,old
631,32887,"['A man holding a stick standing next to a  green hillside.', 'Two men with back packs and walking sticks ', 'A man holding a stick while looking up. ', 'two men camping in the woods near rocks', 'a person with a backpack and a walking stick ']",a man standing on top of a rocky hillside.,a woman standing next to a fence in a forest,a woman standing in the woods with a cell phone.,a person standing on a path in the woods.,old
632,32901,"['four men are posing for a picture at an event', 'Four men are standing together behind a group of red chairs.', 'A group of older man standing next to each other.', 'Four gentleman posing for a picture at a cocktail party.', 'A group of four older men posing for a photo.']",a group of men standing next to each other in a room.,a group of men standing next to each other,a group of men standing next to each other.,a group of men standing next to each other.,old
633,32932,"['A group of people standing around a kitchen next to appliances.', 'Several people busy in a kitchen cooking food.', 'Men and women in aprons working in a kitchen.', 'a GROUP OF PEOPLE IN A KITCHEN PREPARING FOOD', 'A group of men and women around an island in a commercial kitchen.']",a group of people standing around a kitchen preparing food.,a group of people standing in a kitchen,a group of people standing in a kitchen.,a group of people standing around a table.,old
634,32947,"['A woman is seen cleaning a perfectly white bathroom.', 'A smiling woman in blue cleaning a white bathroom', 'A woman cleaning a bathroom and looking back at the camera.', 'This woman is scrubbing a sink in a bathroom', 'The woman in the blue dress is at the bathroom sink.']",a woman standing in a bathroom next to a toilet.,a woman standing in a bathroom with a toilet,a man is standing in a bathroom with a toilet.,a young boy standing in front of a toilet.,old
635,33006,"['People playing video games while someone watches in a library', 'People standing on a tile floor in a library.', 'Three people are playing a video game in a book store.', 'Three people standing next to each other in a bookstore.', 'Three women standing in a library playing with a Wii. ']",a group of people standing in a library.,a couple of people standing in a room,a group of people standing in a room.,a group of people playing a game with nintendo wii controllers.,old
636,33055,"['A man standing on a beach on a cloudy day with arms spread wide ', 'A person standing on a beach by some water.', 'A man holding a frisbee on a beach with a clouded sky.', 'a male on a skate board in the sand ', 'Someone on a beach holds his hands out wide while looking at the sky. ']",a man standing on top of a sandy beach under a cloudy sky.,a person on a beach with a surfboard,a man standing on a beach holding a surfboard.,a man standing on a beach holding a surfboard.,old
637,33116,"['Man playing tennis in motion with crowd and tennis court', 'A man swinging a tennis racquet on a court.', 'A professional tennis player swinging at a tennis ball.', 'TENNIS COURT WITH SPECTATORS WATCHING ON THE SIDELINES', 'a man with a racket reaches to hit a tennis ball ']",a male tennis player in a blue shirt is playing tennis,a man on a tennis court holding a tennis racket,a male tennis player in action on the court.,a male tennis player in action on the court.,old
638,33158,"['A man hitting a baseball with a bat.', 'There is an old fashioned picture of a ball player hitting a ball with a bat.', 'A man in an old-fashioned baseball uniform hits a ball with a bat.', 'The old picture features a man in suit hitting a baseball with his bat.', 'A man is hitting a baseball with a baseball bat.']",an old photo of a man hitting a baseball with a bat.,a black and white photo of a man holding a baseball bat,a black and white photo of a baseball player holding a bat.,a black and white photo of a baseball player holding a bat.,old
639,33221,"['A woman holding a tennis racquet in the air', 'Two women at a beach with tennis rackets in their hands and one girl looking very excited with her tennis racket in the air. ', 'A woman holding a baseball bat over her head on the sand.', 'A few friends going to the beach playing badminton.', 'A group of people standing on top of a beach.']",two women holding a tennis racket on a beach.,a man and woman standing next to each other on a beach,a group of people standing in a field flying kites.,a group of people standing in a field with a frisbee.,old
640,33368,"['A man that is on a tennis court with a racquet.', 'there is a male tennis player wearing a blue shirt playing on the court', 'A person standing on a blue floor holding a tennis racket', 'A tennis player is standing on the court.', 'a person standing on a  tennis court holding a racquet.']",a man standing on top of a tennis court holding a racquet.,a man standing on a tennis court holding a racquet,a man is playing tennis on a tennis court.,a male tennis player in action on the court.,old
641,33405,"['A woman is walking her two dogs on the beach.', 'A young woman walking her dog along the sea shore.', 'The lady walks a pair of odd-looking dogs along the seashore.', 'A woman on the water with a dog on a leash.', 'A woman is standing on the beach with dogs.']",a man and a dog standing on top of a surfboard in the ocean.,a person sitting on a bench near a body of water,a man standing on top of a surfboard in the ocean.,a man in a wet suit carrying a surfboard.,old
642,33441,"['A child is pushing a loaded luggage cart.', 'A boy riding the back of a moving luggage cart.', 'a child pushing a cart bag towards someone', 'A child playing on a shopping cart in a store.', 'A child helping to push a loaded luggage cart.']",a young child pulling luggage behind him in the middle of the street.,a man is taking a picture of a man,a man sitting in front of a tv holding a wii controller.,a young man riding a skateboard up a ramp.,young
643,33576,"['a man walks and talks on his cell phone', 'A business man in a suit walks while he talks on a cell phone.', 'A man walking down a street next to tall buildings talking on a cell phone.', 'A man walks down a brick sidewalk while talking on a phone.', 'A man walking on a sidewalk talking on a cellphone.']",a man talking on a cell phone while walking down a street.,a black and white photo of people walking down a street,a man riding a skateboard down a street.,a man riding a skateboard down a street.,old
644,33638,"['A woman observing something on a kitchen stove.', 'A woman is cooking on a large black stove', 'A woman cooking on an old fashioned stove.', 'A man preparing food on a large old oven.', 'A woman wearing shorts bends over a frying pan on a stove.']",a woman cooking food on top of a stove.,a woman standing next to a black stove in a kitchen,a man standing in a kitchen preparing food.,a woman standing in a kitchen preparing food.,old
645,33645,"['A little girl holding a red frisbee standing on a lush green field.', 'A little girl in the grass wearing sunglasses holding a frisbee.', 'A young girl is holding a Frisbee in the grass', 'Young girl in sunglasses standing in a lawn, holding a frisbee ', 'A girl in blue shit and shorts holding a frisbee in grassy area.']",a young girl holding a frisbee in a yard.,a girl in a red dress is playing frisbee,a woman in a green shirt holding a frisbee.,a woman holding a frisbee in her hands.,young
646,33672,"['A person riding on the back of a white horse through a dirt field.', 'A man with a helmet on a horse in a corral.', 'An individual with a green helmet riding a white and brown horse.', 'A brightly dressed rider is on a pinto.', 'A girl in is riding a white horse on a sunny day.']",a man riding on the back of a white horse.,a man is riding a horse in the dirt,a man riding on the back of a brown horse.,a person riding a horse in a field.,young
647,33731,"['A young man is trying to pull off a skateboarding trick over a large rock. ', 'A guy does tricks on his skateboard at night in the city. ', 'A boy jumping with a skateboard over a rock at night.', 'A skateboarder ollies over a boulder at night', 'A skate boarder doing jumps at night on city street.']",a man flying through the air while riding a skateboard.,a man flying through the air while riding a skateboard,a man riding a skateboard up the side of a ramp.,a man riding a skateboard up the side of a ramp.,old
648,33759,"['A boy swinging a baseball bat at a game.', 'A young boy swinging a baseball bat at a baseball.', 'A young baseball player stands at the plate, in motion to hit an oncoming ball. ', 'a boy swinging his baseball bat at a baseball', 'A little kid swinging a bat in a baseball game.']",a young boy swinging a baseball bat at a ball.,a young boy swinging a bat at a baseball,a young boy swinging a baseball bat at a ball.,a young boy swinging a baseball bat at a ball.,young
